BDRY_IDENT	SEG_NBR	NAME	TYPE	ICAO	SHAP	DERIVATION	WGS_LAT1	WGS_DLAT1	WGS_LONG1	WGS_DLONG1	WGS_LAT2	WGS_DLAT2	WGS_LONG2	WGS_DLONG2	WGS_LAT0	WGS_DLAT0	WGS_LONG0	WGS_DLONG0	RADIUS1	RADIUS2	BEARING1	BEARING2	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
FP00004	10	TZ MINUS 5 E SOUTH	01	FP	G		N17133598	17.226661	E082303296	82.509156	S70005031	-70.013975	E082295995	82.499986													200107
FP00004	20	TZ MINUS 5 E SOUTH	01	FP	G		S70005031	-70.013975	E082295995	82.499986	S70000000	-70.000000	E067300000	67.500000													200107
FP00004	30	TZ MINUS 5 E SOUTH	01	FP	G		S70000000	-70.000000	E067300000	67.500000	N23582655	23.974042	E067300242	67.500672													200107
FP00004	40	TZ MINUS 5 E SOUTH	01	FP	G		N23582655	23.974042	E067300242	67.500672	N21014009	21.027803	E069482019	69.805608													200107
FP00004	50	TZ MINUS 5 E SOUTH	01	FP	G		N21014009	21.027803	E069482019	69.805608	N16163053	16.275147	E073101370	73.170472													200107
FP00004	60	TZ MINUS 5 E SOUTH	01	FP	G		N16163053	16.275147	E073101370	73.170472	N12012751	12.024308	E074573370	74.959361													200107
FP00004	70	TZ MINUS 5 E SOUTH	01	FP	G		N12012751	12.024308	E074573370	74.959361	N08381232	8.636756	E076293377	76.492714													200107
FP00004	80	TZ MINUS 5 E SOUTH	01	FP	G		N08381232	8.636756	E076293377	76.492714	N07540120	7.900333	E077130045	77.216792													200107
FP00004	90	TZ MINUS 5 E SOUTH	01	FP	G		N07540120	7.900333	E077130045	77.216792	N05403234	5.675650	E080281139	80.469831													200107
FP00004	100	TZ MINUS 5 E SOUTH	01	FP	G		N05403234	5.675650	E080281139	80.469831	N06035885	6.066347	E081343809	81.577247													200107
FP00004	110	TZ MINUS 5 E SOUTH	01	FP	G		N06035885	6.066347	E081343809	81.577247	N07013811	7.027253	E082055645	82.099014													200107
FP00004	120	TZ MINUS 5 E SOUTH	01	FP	G		N07013811	7.027253	E082055645	82.099014	N07494715	7.829764	E081542643	81.907342													200107
FP00004	130	TZ MINUS 5 E SOUTH	01	FP	G		N07494715	7.829764	E081542643	81.907342	N08430030	8.716750	E081215143	81.364286													200107
FP00004	140	TZ MINUS 5 E SOUTH	01	FP	G		N08430030	8.716750	E081215143	81.364286	N09442765	9.741014	E080242139	80.405942													200107
FP00004	150	TZ MINUS 5 E SOUTH	01	FP	G		N09442765	9.741014	E080242139	80.405942	N12401600	12.671111	E080133793	80.227203													200107
FP00004	160	TZ MINUS 5 E SOUTH	01	FP	G		N12401600	12.671111	E080133793	80.227203	N15440499	15.734719	E080563192	80.942200													200107
FP00004	170	TZ MINUS 5 E SOUTH	01	FP	G		N15440499	15.734719	E080563192	80.942200	N17133598	17.226661	E082303296	82.509156													200107
FP00005	10	TZ INDIA MINUS 5 30	01	FP	G		N23582655	23.974042	E067300242	67.500672	N23520598	23.868328	E068125196	68.214433													200107
