PJA_IDENT	SEG_NBR	NAME	ICAO_REGION	SHAP	DERIVATION	WGS_LAT1	WGS_DLAT1	WGS_LONG1	WGS_DLONG1	WGS_LAT2	WGS_DLAT2	WGS_LONG2	WGS_DLONG2	WGS_LAT0	WGS_DLAT0	WGS_LONG0	WGS_DLONG0	TYPE	RADIUS1	RADIUS2	BEARING1	BEARING2	DISTANCE1	DISTANCE2	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
FR00351	00010	351-MONT DE MARSAN	LF	C										N43540000	43.900000	W000290500	-0.484722	4	0.70										199810
FR00354	00010	354-ROCHEFORT ST AGNANT	LF	C										N45532200	45.889444	W000585700	-0.982500	4	0.90										199810
FR00355	00010	355-ETAP	LF	C										N43204300	43.345278	W000234000	-0.394444	4	1.70										199810
FR00361	00010	361-CHARRITTE AROUE	LF	C										N43170000	43.283333	W000550000	-0.916667	4	1.50										199810
FR00364	00010	364-SAINT PALAIS	LF	C										N43170000	43.283333	W001030000	-1.050000	4	1.70										199810
FR00366	00010	366-ITXASSOU	LF	C										N43201500	43.337500	W001252500	-1.423611	4	1.00										199810
FR00367	00010	367-SAINTES THENAC	LF	C										N45420700	45.701944	W000381000	-0.636111	4	1.30										199810
FR00370	00010	370-BENOU	LF	C										N43040000	43.066667	W000280000	-0.466667	4	1.20										199810
FR00371	00010	371-SOULAC	LF	C										N45294200	45.495000	W001045600	-1.082222	4	1.20										199810
FR00378	00010	378-BERGERAC ROUMANIERE	LF	C										N44494400	44.828889	E000305200	0.514444	4	1.30										199810
FR00380	00010	380-AGEN LA GARENNE	LF	C										N44102900	44.174722	E000352600	0.590556	4	1.00										199810
FR00381	00010	381-MONTPEZAT D AGENAIS	LF	C										N44215300	44.364722	E000293200	0.492222	4	0.76										199810
FR00382	00010	382-CASTRES	LF	C										N43334700	43.563056	E002173000	2.291667	4	1.70										199810
FR00388	00010	388-ROYAN MEDIS	LF	C										N45375200	45.631111	W000583200	-0.975556	4	1.50										199810
FR00391	00010	391-CAHORS LALBENQUE	LF	C										N44210200	44.350556	E001284300	1.478611	4	1.00										199810
FR00394	00010	394-LES ESPIEMONTS CAYULS	LF	C										N44162200	44.272778	E001432300	1.723056	4	0.70										199810
FR00398	00010	398-MIRAVAL CABARDES	LF	C										N43220000	43.366667	E002180000	2.300000	4	1.00										199810
FR00399	00010	399-PAMIERS LES PUJOLS	LF	C										N43052600	43.090556	E001414500	1.695833	4	1.00										199810
FR00400	00010	400-SALON DE PROVENCE	LF	A										N43361000	43.602778	E005063300	5.109167	4	0.10										199810
FR00401	00010	401-AIX LES MILLES	LF	C										N43301800	43.505000	E005220100	5.366944	4	0.60										199810
FR00402	00010	402-AVIGNON PUJAUT	LF	A										N43594900	43.996944	E004452000	4.755556	4	0.10										199810
FR00403	00010	403-LE LUC LE CANNET	LF	A										N43231600	43.387778	E006230500	6.384722	4	0.10										199810
FR00404	00010	404-ARTIGNOSC SUR VERDON	LF	C										N43405000	43.680556	E006074000	6.127778	4	0.10										200103
FR00405	00010	405-BASTIA BORGO	LF	A										N42342800	42.574444	E009270300	9.450833	4	0.10										199912
FR00406	00010	406-GHISONACCIA ALZITONE	LF	A										N42031800	42.055000	E009240700	9.401944	4	0.10										199810
FR00408	00010	408-PERPIGNAN LA SALANQUE	LF	A										N42480000	42.800000	E003000000	3.000000	4	0.10										199810
FR00410	00010	410-MILLAU LARZAC	LF	A										N43592100	43.989167	E003110000	3.183333	4	0.10										200109
FR00411	00010	411-ROANNE RENAISON	LF	A										N46031000	46.052778	E003595900	3.999722	4	0.10										200202
FR00412	00010	412-AUBENAS ARDECHE MERIDIONALE	LF	A										N44322200	44.539444	E004221800	4.371667	4	0.10										199810
FR00413	00010	413-PROPRIANO	LF	A										N41394100	41.661389	E008534200	8.895000	4	0.10										200211
FR00414	00010	414-NIMES COURBESSAC	LF	A										N43511400	43.853889	E004244900	4.413611	4	0.10										199810
FR00415	00010	415-TIGNES (SAVOIE)	LF	A										N45250000	45.416667	E006530000	6.883333	4	0.10										199810
FR00416	00010	416-ANNEMASSE	LF	C										N46111400	46.187222	E006161200	6.270000	4	1.00										199810
FR00417	00010	417-CHAMBERY AIX LES BAINS	LF	A										N45382100	45.639167	E005524800	5.880000	4	0.10										199810
FR00418	00010	418-LAC DU BOURGET	LF	C										N45394000	45.661111	E005520200	5.867222	4	0.30										199810
FR00419	00010	419-ST GALMIER	LF	A										N45362600	45.607222	E004182100	4.305833	4	0.10										199912
FR00420	00010	420-GRENOBLE ST GEOIRS	LF	A										N45214700	45.363056	E005195800	5.332778	4	0.10										199810
FR00421	00010	421-LYON CORBAS	LF	A										N45391500	45.654167	E004544900	4.913611	4	0.10										199810
FR00422	00010	422-AMBERIEU	LF	A										N45585100	45.980833	E005202100	5.339167	4	0.10										199810
FR00427	00010	427-ANCELLE (HAUTES ALPES)	LF	C										N44380000	44.633333	E006120000	6.200000	4	2.15										199912
FR00431	00010	431-AIME LA PLAGNE (SAVOIE)	LF	C										N45300000	45.500000	E006410000	6.683333	4	1.10										199912
FR00433	00010	433-LAPALISSE PERIGNY	LF	A										N46151400	46.253889	E003351900	3.588611	4	0.10										199810
FR00434	00010	434-CALVI STE CATHERINE	LF	C										N42332100	42.555833	E008475500	8.798611	4	3.00										199810
FR00435	00010	435-ST CHRISTOL	LF	A										N44031200	44.053333	E005294200	5.495000	4	0.10										199810
FR00436	00010	436-GAP TALLARD	LF	A										N44271800	44.455000	E006021600	6.037778	4	0.10										199810
FR00437	00010	437-LE PUY LOUDES	LF	C										N45044200	45.078333	E003453800	3.760556	4	1.50										199810
FR00438	00010	438-PIERRELATTE	LF	A										N44235600	44.398889	E004430500	4.718056	4	0.10										200404
FR00441	00010	441-HAUTELUCE	LF	A										N45453300	45.759167	E006313500	6.526389	4	0.10										199912
FR00442	00010	442-LA TOUR	LF	A										N46074500	46.129167	E006252300	6.423056	4	0.10										199810
FR00500	00010	500-BEGROLLE EN MAUGES	LF	A										N47083000	47.141667	W000543000	-0.908333	4	0.10										199810
FR00510	00010	510-ARON/AEROFERME LES ECOTTAYS	LF	A										N48170000	48.283333	W000310000	-0.516667	4	0.10										199810
FR00520	00010	520-LES SABLES D OLONNE	LF	A										N48283700	48.476944	W001432200	-1.722778	4	0.10										199810
FR00540	00010	540-GRANVILLE	LF	A										N48525800	48.882778	W001335000	-1.563889	4	0.10										199912
FR00600	00010	600-DELME	LF	A										N48530000	48.883333	E006250000	6.416667	4	0.10										199810
GM00003	00010	AILERTCHEN	ED	C										N50353600	50.593333	E007564200	7.945000	4	2.00										200404
GM00005	00010	ALBSTADT-DEGERFELD	ED	C										N48154700	48.263056	E009022600	9.040556	4	2.00										199910
GM00010	00010	ALKERSLEBEN	ED	C										N50502800	50.841111	E011041300	11.070278	4	2.00										199910
GM00015	00010	ALTENBURGT-NOBITZ	ED	C										N50585500	50.981944	E012302300	12.506389	4	2.00										200112
GM00020	00010	ALTENSTADT	ED	C										N47500800	47.835556	E010521500	10.870833	4	2.00										200112
GM00030	00010	AMPFING-WALDKRAIBURG	ED	C										N48154700	48.263056	E012244000	12.411111	4	2.00										200404
GM00040	00010	ASCHERSLEBEN	ED	C										N51455500	51.765278	E011295500	11.498611	4	2.00										200112
GM00045	00010	AUERBACH	ED	C										N50294900	50.496944	E012224400	12.378889	4	2.00										200112
GM00055	00010	BAD DITZENBACH	ED	C										N48334600	48.562778	E009434500	9.729167	4	2.00										200112
GM00060	00010	BAD FRANKENHAUSEN	ED	C										N51222300	51.373056	E011082900	11.141389	4	2.00										200112
GM00070	00010	BAD WORISHOFEN	ED	C										N48005900	48.016389	E010365800	10.616111	4	2.00										200112
GM00075	00010	BALLENSTEDT	ED	C										N51443700	51.743611	E011134300	11.228611	4	2.00										200112
GM00077	00010	BARTH	ED	C										N54201200	54.336667	E012423600	12.710000	4	2.00										200207
GM00080	00010	BAUTZEN	ED	C										N51113700	51.193611	E014311100	14.519722	4	2.00										200112
GM00085	00010	BIBERACH RISS	ED	C										N48064000	48.111111	E009454600	9.762778	4	2.00										200112
GM00087	00010	BIELEFELD	ED	C										N51575100	51.964167	E008324100	8.544722	4	2.00										200404
GM00088	00010	BIENENFARM	ED	C										N52393600	52.660000	E012444500	12.745833	4	2.00										200405
GM00090	00010	BRAUNSCHWEIG	ED	C										N52190700	52.318611	E010332500	10.556944	4	2.00										200112
GM00095	00010	BREITSCHEID	ED	C										N50404600	50.679444	E008102200	8.172778	4	2.00										200112
GM00100	00010	BREMGARTEN	ED	C										N47542500	47.906944	E007375500	7.631944	4	2.00										200112
GM00105	00010	BRUCHSAL	ED	C										N49055600	49.098889	E008355600	8.598889	4	2.00										200112
GM00110	00010	BRUNSIEK-MEISSENDORF	ED	C										N52425000	52.713889	E009522400	9.873333	4	1.00										200112
GM00120	00010	BURGHEIM (SCHWABEN)	ED	C										N48412600	48.690556	E011015500	11.031944	4	2.00										200112
GM00130	00010	CALW-MUCKBERG	ED	C										N48423500	48.709722	E008470600	8.785000	4	2.00										200112
GM00135	00010	DAHLEMER BINZ	ED	C										N50242100	50.405833	E006314400	6.528889	4	2.00										200113
GM00140	00010	DAMME	ED	C										N52291500	52.487500	E008111000	8.186111	4	2.00										200102
GM00141	00010	DAUN-SENHELD	ED	C										N50105500	50.181944	E006513000	6.858333	4	2.00										200112
GM00142	00010	DEGGENDORF	ED	C										N48494800	48.830000	E012525247	12.881242	4	2.00										200112
GM00145	00010	DESSAU	ED	C										N51495600	51.832222	E012112400	12.190000	4	2.00										200112
GM00150	00001	DINGOLFING	ED	C										N48392500	48.656944	E012295700	12.499167	4	2.00										200112
GM00152	00010	DINKELSBUHL-SINBRONN	ED	C										N49035400	49.065000	E010240400	10.401111	4	2.00										200404
GM00155	00001	DONAUWORTH-GENDERKINGEN	ED	C										N48421000	48.702778	E010510300	10.850833	4	2.00										200112
GM00158	00001	EGGENFELDEN	ED	C										N48234600	48.396111	E012432500	12.723611	4	2.00										200205
GM00160	00001	EGGERSDORF-MUNCHENBERG	ED	C										N52284500	52.479167	E014050000	14.083333	4	2.00										200112
GM00175	00001	FASSBERG	ED	C										N52550700	52.918611	E010110200	10.183889	4	2.00										200112
GM00185	00001	FLENSBURG-SCHAFERSHAUS	ED	C										N54462400	54.773333	E009224400	9.378889	4	2.00										200112
GM00190	00001	FREIBURG	ED	C										N48011400	48.020556	E007500100	7.833611	4	2.00										200112
GM00192	00010	FURSTENWALDE	ED	C										N52232300	52.389722	E014053900	14.094167	4	2.00										200112
GM00195	00001	FURSTENZELL	ED	C										N48304700	48.513056	E013204600	13.346111	4	2.00										200112
GM00200	00001	GANDERKESEE	ED	C										N53021300	53.036944	E008302000	8.505556	4	1.50										200112
GM00205	00001	GELNHAUSEN	ED	C										N50115600	50.198889	E009101200	9.170000	4	2.00										200112
GM00210	00001	GERA-LEUMNITZ	ED	C										N50525100	50.880833	E012081500	12.137500	4	2.00										200112
