ARPT_IDENT	PROC	TRM_IDENT	RWY_ID	OCC_NO	ICAO	DESIG	KNOTS	RATE_DESC	ALT	FTNOTE	CYCLE_DATE
BR41479	3	S15    DESCENT D1 VOR RW15	15	10	SBGL	1	60	00310	05000	CAUTION: Missed Approach Minimum Climb Rate	200408
BR46398	2	APUC	17	10	SBSV	1	60	00465	00400	400-1600m auth in lieu of Min Climb Rate	200005
BR46398	2	APUC	28	10	SBSV	1	60	00505	00400	400-1600m auth in lieu of Min Climb Rate	200005
BR46398	2	CAMB1	28	10	SBSV	1	60	00505	00400	Note: 400-1600m auth in lieu of Min Climb Rate	199908
BR46398	2	CAMB2	17	10	SBSV	1	60	00465	04000	400-1600m authin lieu of Min Climb Rate	200005
BR46398	2	CONDE	17	10	SBSV	1	60	00465	00400	400-1600m auth in lieu of Min Climb Rate	200005
BR46398	2	CONDE	28	10	SBSV	1	60	00505	00400	400-1600m auth in lieu of Min Climb Rate	199908
BR46398	2	CORAL1	28	10	SBSV	1	60	00505	00400	400-1600m auth in lieu of Min Climb Rate	199908
BR46398	2	CORAL2	17	10	SBSV	1	60	00465	00400	400-1600m auth in lieu of Min Climb Rate	200005
BR46398	2	ELDA1	28	10	SBSV	1	60	00505	00400	NOTE: 400-1600m auth in lieu of Min Climb Rate	200313
BR46398	2	ELDA2	17	10	SBSV	1	60	00465	00400	400-1600m auth in lieu of Min Climb Rate	200313
BR46398	2	ELOG1	28	10	SBSV	1	60	00505	00400	Note: 400-1600m auth in lieu of Min Climb Rate	199908
BR46398	2	ELOG2	17	10	SBSV	1	60	00465	00400	400-1600m auth in lieu of Min Climb Rate	200005
BR46398	2	LOTAR	17	10	SBSV	1	60	00465	00400	400-1600m auth in lieu of Min Climb Rate	200005
BR46398	2	LOTAR	28	10	SBSV	1	60	00505	00400	400-1600m auth in lieu of Min Climb Rate	199908
BR46398	2	LUIZ1	28	10	SBSV	1	60	00505	00400	400-1600m auth in lieu of Min Climb Rate	199908
BR46398	2	LUIZ2	17	10	SBSV	1	60	00465	00400	400-1600m auth in lieu of Min Climb Rate	200005
BR46398	2	NORA	17	10	SBSV	1	60	00465	00400	400-1600m auth in lieu of Min Climb Rate	200005
BR46398	2	NORA	28	10	SBSV	1	60	00505	00400	400-1600m auth in lieu of Min Climb Rate	199908
BR46398	2	SOTO	17	10	SBSV	1	60	00465	00400	400-1600m auth in lieu of Min Climb Rate	200005
BR46398	2	SOTO	28	10	SBSV	1	60	00505	00400	400-1600m auth in lieu of Min Climb Rate	199908
BR46398	2	TAGO1	28	10	SBSV	1	60	00505	00400	400-1600m auth in lieu of Min Climb Rate	199908
BR46398	2	TAGO2	28	10	SBSV	1	60	00465	00400	400-1600m auth in lieu of Min Climb Rate	199908
BR46398	2	TITA1	28	10	SBSV	1	60	00505	00400	400-1600m auth in lieu of Min Climb Rate	199908
BR46398	2	TITA2	28	10	SBSV	1	60	00465	00400	400-1600m auth in lieu of Min Climb Rate	199908
