ORTCA_IDENT	ALT	NW_LAT	NW_DLAT	NW_LONG	NW_DLONG	NE_LAT	NE_DLAT	NE_LONG	NE_DLONG	SW_LAT	SW_DLAT	SW_LONG	SW_DLONG	SE_LAT	SE_DLAT	SE_LONG	SE_DLONG	CYCLE_DATE	ORTCA_ID
056623	12700	N21000000	21.000000	E040000000	40.000000	N21000000	21.000000	E041000000	41.000000	N20000000	20.000000	E040000000	40.000000	N20000000	20.000000	E041000000	41.000000	199907	0566023
056624	12100	N21000000	21.000000	E041000000	41.000000	N21000000	21.000000	E042000000	42.000000	N20000000	20.000000	E041000000	41.000000	N20000000	20.000000	E042000000	42.000000	199907	0566024
056701	04600	N24000000	24.000000	E030000000	30.000000	N24000000	24.000000	E031000000	31.000000	N23000000	23.000000	E030000000	30.000000	N23000000	23.000000	E031000000	31.000000	199907	0567001
056702	05100	N24000000	24.000000	E031000000	31.000000	N24000000	24.000000	E032000000	32.000000	N23000000	23.000000	E031000000	31.000000	N23000000	23.000000	E032000000	32.000000	199907	0567002
056703	05100	N24000000	24.000000	E032000000	32.000000	N24000000	24.000000	E033000000	33.000000	N23000000	23.000000	E032000000	32.000000	N23000000	23.000000	E033000000	33.000000	199907	0567003
056704	06100	N24000000	24.000000	E033000000	33.000000	N24000000	24.000000	E034000000	34.000000	N23000000	23.000000	E033000000	33.000000	N23000000	23.000000	E034000000	34.000000	199907	0567004
056705	07100	N24000000	24.000000	E034000000	34.000000	N24000000	24.000000	E035000000	35.000000	N23000000	23.000000	E034000000	34.000000	N23000000	23.000000	E035000000	35.000000	199907	0567005
056706	08400	N24000000	24.000000	E035000000	35.000000	N24000000	24.000000	E036000000	36.000000	N23000000	23.000000	E035000000	35.000000	N23000000	23.000000	E036000000	36.000000	199907	0567006
056707	04600	N23000000	23.000000	E030000000	30.000000	N23000000	23.000000	E031000000	31.000000	N22000000	22.000000	E030000000	30.000000	N22000000	22.000000	E031000000	31.000000	199907	0567007
056708	04900	N23000000	23.000000	E031000000	31.000000	N23000000	23.000000	E032000000	32.000000	N22000000	22.000000	E031000000	31.000000	N22000000	22.000000	E032000000	32.000000	199907	0567008
056709	05200	N23000000	23.000000	E032000000	32.000000	N23000000	23.000000	E033000000	33.000000	N22000000	22.000000	E032000000	32.000000	N22000000	22.000000	E033000000	33.000000	199907	0567009
056710	06700	N23000000	23.000000	E033000000	33.000000	N23000000	23.000000	E034000000	34.000000	N22000000	22.000000	E033000000	33.000000	N22000000	22.000000	E034000000	34.000000	199907	0567010
056711	08100	N23000000	23.000000	E034000000	34.000000	N23000000	23.000000	E035000000	35.000000	N22000000	22.000000	E034000000	34.000000	N22000000	22.000000	E035000000	35.000000	199907	0567011
056712	09300	N23000000	23.000000	E035000000	35.000000	N23000000	23.000000	E036000000	36.000000	N22000000	22.000000	E035000000	35.000000	N22000000	22.000000	E036000000	36.000000	199907	0567012
056713	05900	N22000000	22.000000	E030000000	30.000000	N22000000	22.000000	E031000000	31.000000	N21000000	21.000000	E030000000	30.000000	N21000000	21.000000	E031000000	31.000000	199907	0567013
056714	05600	N22000000	22.000000	E031000000	31.000000	N22000000	22.000000	E032000000	32.000000	N21000000	21.000000	E031000000	31.000000	N21000000	21.000000	E032000000	32.000000	199907	0567014
056715	08500	N22000000	22.000000	E032000000	32.000000	N22000000	22.000000	E033000000	33.000000	N21000000	21.000000	E032000000	32.000000	N21000000	21.000000	E033000000	33.000000	199907	0567015
