ARF_IDENT	DIRECTION	SEG_NBR	ICAO	SHAP	DERIVATION	WGS_LAT1	WGS_DLAT1	WGS_LONG1	WGS_DLONG1	WGS_LAT2	WGS_DLAT2	WGS_LONG2	WGS_DLONG2	WGS_LAT0	WGS_DLAT0	WGS_LONG0	WGS_DLONG0	RADIUS1	RADIUS2	BEARING1	BEARING2	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
AR115		00060	KZAB	H		N34194800	34.330000	W106540000	-106.900000	N34423600	34.710000	W107003600	-107.010000													200101
AR115		00070	KZAB	H		N34423600	34.710000	W107003600	-107.010000	N34475200	34.797778	W107022700	-107.040833													200205
AR115		00080	KZAB	R	B	N34475200	34.797778	W107022700	-107.040833	N34500800	34.835556	W106530800	-106.885556	N34490000	34.816667	W106574800	-106.963333	4.00		253.6	73.6					200205
AR117V		00010	KZAB	H		N34500800	34.835556	W106530800	-106.885556	N34450000	34.750000	W106510000	-106.850000													200205
AR117V		00020	KZAB	H		N34450000	34.750000	W106510000	-106.850000	N34210000	34.350000	W106442400	-106.740000													200101
AR117V		00030	KZAB	H		N34210000	34.350000	W106442400	-106.740000	N34001200	34.003333	W106431200	-106.720000													200205
AR117V		00040	KZAB	R	B	N34001200	34.003333	W106431200	-106.720000	N33594800	33.996667	W106524800	-106.880000	N34000000	34.000000	W106480000	-106.800000	4.00		87.1	267.1					200205
AR117V		00050	KZAB	H		N33594800	33.996667	W106524800	-106.880000	N34194800	34.330000	W106540000	-106.900000													200205
AR117V		00060	KZAB	H		N34194800	34.330000	W106540000	-106.900000	N34423600	34.710000	W107003600	-107.010000													200101
AR117V		00070	KZAB	H		N34423600	34.710000	W107003600	-107.010000	N34475200	34.797778	W107022700	-107.040833													200205
AR117V		00080	KZAB	R	B	N34475200	34.797778	W107022700	-107.040833	N34500800	34.835556	W106530800	-106.885556	N34490000	34.816667	W106574800	-106.963333	4.00		253.5	73.5					200205
AR125V	N	00010	KZAB	H		N35015724	35.032567	W107285246	-107.481239	N34283000	34.475000	W107153500	-107.259722													200511
AR125V	N	00015	KZAB	H		N34283000	34.475000	W107153500	-107.259722	N34160142	34.267061	W107022811	-107.041142													200511
AR125V	N	00020	KZAB	R	E	N34160142	34.267061	W107022811	-107.041142	N34105247	34.181242	W107095167	-107.164353	N34132700	34.224167	W107061000	-107.102778	4.00								200511
AR125V	N	00025	KZAB	H		N34105247	34.181242	W107095167	-107.164353	N34244346	34.412072	W107235426	-107.398406													200511
AR125V	N	00027	KZAB	R	E	N34244346	34.412072	W107235426	-107.398406	N34260309	34.434192	W107244774	-107.413261	N34271800	34.455000	W107201200	-107.336667	4.00								200511
AR125V	N	00030	KZAB	H		N34260309	34.434192	W107244774	-107.413261	N34592659	34.990719	W107380740	-107.635389													200511
AR125V	N	00040	KZAB	R	E	N34592659	34.990719	W107380740	-107.635389	N35015724	35.032567	W107285246	-107.481239	N35004200	35.011667	W107333000	-107.558333	4.00								200511
AR125V	S	00010	KZAB	H		N35015724	35.032567	W107285246	-107.481239	N34283000	34.475000	W107153500	-107.259722													200511
AR125V	S	00020	KZAB	H		N34283000	34.475000	W107153500	-107.259722	N34160142	34.267061	W107022811	-107.041142													200511
AR125V	S	00030	KZAB	R	E	N34160142	34.267061	W107022811	-107.041142	N34105247	34.181242	W107095167	-107.164353	N34132700	34.224167	W107061000	-107.102778	4.00								200511
AR125V	S	00040	KZAB	H		N34105247	34.181242	W107095167	-107.164353	N34244346	34.412072	W107235426	-107.398406													200511
AR125V	S	00050	KZAB	R	E	N34244346	34.412072	W107235426	-107.398406	N34260309	34.434192	W107244774	-107.413261	N34271800	34.455000	W107201200	-107.336667	4.00								200511
AR125V	S	00060	KZAB	H		N34260309	34.434192	W107244774	-107.413261	N34592659	34.990719	W107380740	-107.635389													200511
AR125V	S	00070	KZAB	R	E	N34592659	34.990719	W107380740	-107.635389	N35015724	35.032567	W107285246	-107.481239	N35004200	35.011667	W107333000	-107.558333	4.00								200511
AR126V	N	00010	KZAB	H		N34420000	34.700000	W105590000	-105.983333	N34410000	34.683333	W105590000	-105.983333													200205
AR126V	N	00020	KZAB	R	B	N34410000	34.683333	W105590000	-105.983333	N34380000	34.633333	W105552200	-105.922778	N34380000	34.633333	W105590000	-105.983333	3.00		360.0	90.0					200205
AR126V	N	00030	KZAB	H		N34380000	34.633333	W105552200	-105.922778	N33490000	33.816667	W105552400	-105.923333													200205
AR126V	N	00040	KZAB	R	B	N33490000	33.816667	W105552400	-105.923333	N33460000	33.766667	W105590000	-105.983333	N33490000	33.816667	W105590000	-105.983333	3.00		90.0	180.0					200205
AR126V	N	00050	KZAB	H		N33460000	33.766667	W105590000	-105.983333	N33450000	33.750000	W105590000	-105.983333													200205
