ARF_IDENT	DIRECTION	PT_SEQ_NBR	ICAO	USAGE	PT_NAV_FLAG	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	BEARING	DISTANCE	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	CYCLE_DATE
AR640B		75	KZAU	EX		BAE	2	US	1	329	064	N44030000	44.049999	W089000000	-89.000000	199511
AR641A		10	KZLA	AN		ILC	2	US	1	193	036	N37430000	37.716667	W114450000	-114.750000	199906
AR641A		15	KZLA	AP		ILC	2	US	1	193	036	N37430000	37.716667	W114450000	-114.750000	199511
AR641A		20	KZLA	AP		ILC	2	US	1	180	049	N37280000	37.466667	W114390000	-114.650000	199511
AR641A		25	KZLA	AP		ILC	2	US	1	142	042	N37360000	37.600000	W114030000	-114.050000	200011
AR641A		30	KZLA	AP		ILC	2	US	1	138	026	N37520000	37.866667	W114090000	-114.150000	200011
AR641A		35	KZLA	EX		ILC	2	US	1	142	042	N37360000	37.600000	W114030000	-114.050000	200011
AR642E	E	10	KZLC	ET		BVL	2	US	1	162	005	N40390000	40.650000	W113450000	-113.750000	199709
AR642E	E	15	KZLC	IP		BVL	2	US	1	162	005	N40390000	40.650000	W113450000	-113.750000	199709
AR642E	E	20	KZLC	AN		BVL	2	US	1	162	070	N39330000	39.550000	W113440000	-113.733333	200011
AR642E	E	25	KZLC	AP		BVL	2	US	1	162	070	N39330000	39.550000	W113440000	-113.733333	199803
AR642E	E	30	KZLC	AP		BVL	2	US	1	149	075	N39310000	39.516667	W113220000	-113.366667	199803
AR642E	E	35	KZLC	AP		BVL	2	US	1	118	029	N40230000	40.383333	W113190000	-113.316667	199803
AR642E	E	40	KZLC	AP		BVL	2	US	1	162	020	N40240000	40.400000	W113450000	-113.750000	199803
AR642E	E	45	KZLC	EX		BVL	2	US	1	118	029	N40230000	40.383333	W113190000	-113.316667	199709
AR642W	W	10	KZLC	ET		BVL	2	US	1	231	020	N40360000	40.600000	W114100000	-114.166667	200011
AR642W	W	15	KZLC	IP		BVL	2	US	1	231	020	N40360000	40.600000	W114100000	-114.166667	200011
AR642W	W	20	KZLC	AN		BVL	2	US	1	176	072	N39330000	39.550000	W114070000	-114.116667	199709
AR642W	W	25	KZLC	AP		BVL	2	US	1	176	072	N39330000	39.550000	W114070000	-114.116667	199803
AR642W	W	30	KZLC	AP		BVL	2	US	1	162	070	N39330000	39.550000	W113440000	-113.733333	199803
AR642W	W	35	KZLC	AP		BVL	2	US	1	162	020	N40240000	40.400000	W113450000	-113.750000	199803
AR642W	W	40	KZLC	AP		BVL	2	US	1	204	027	N40230000	40.383333	W114090000	-114.150000	199803
AR642W	W	45	KZLC	EX		BVL	2	US	1	162	020	N40240000	40.400000	W113450000	-113.750000	199709
AR643		10	KZDV	ET		PUB	2	US	1	252	023	N38153000	38.258333	W104550000	-104.916667	199709
AR643		15	KZDV	ET		ALS	2	US	1	125	015	N37090000	37.150000	W105360000	-105.600000	200010
AR643		20	KZDV	IP		PUB	2	US	1	252	023	N38153000	38.258333	W104550000	-104.916667	199709
AR643		25	KZDV	AN		ALS	2	US	1	125	015	N37090000	37.150000	W105360000	-105.600000	199709
AR643		30	KZDV	AP		ALS	2	US	1	125	015	N37090000	37.150000	W105360000	-105.600000	199803
AR643		35	KZDV	AP		ALS	2	US	1	102	035	N37050000	37.083333	W105103000	-105.175000	199803
AR643		40	KZDV	AP		PUB	2	US	1	215	031	N37570000	37.950000	W104550000	-104.916667	199803
AR643		45	KZDV	AP		PUB	2	US	1	232	048	N37570000	37.950000	W105210000	-105.350000	199803
AR643		50	KZDV	EX		PUB	2	US	1	190	024	N37550000	37.916667	W104380000	-104.633333	200011
AR643		55	KZDV	EX		ALS	2	US	1	125	015	N37090000	37.150000	W105360000	-105.600000	199709
AR644	N	10	KZAB	ET		HMN	3	US	1	358	074	N34050000	34.083333	W105544800	-105.913333	199709
AR644	N	20	KZAB	IP		HMN	3	US	1	358	074	N34050000	34.083332	W105544800	-105.913333	199709
AR644	N	30	KZAB	AN		HMN	3	US	1	043	030	N33100600	33.168333	W105374800	-105.630000	199709
AR644	N	40	KZAB	AP		HMN	3	US	1	043	030	N33100600	33.168333	W105374800	-105.630000	199803
AR644	N	50	KZAB	AP		HMN	3	US	1	049	050	N33175400	33.298333	W105151800	-105.255000	199803
AR644	N	60	KZAB	AP		HMN	3	US	1	015	066	N33513000	33.858333	W105325400	-105.548333	199803
AR644	N	70	KZAB	AP		HMN	3	US	1	001	053	N33433000	33.725000	W105544800	-105.913333	199803
AR644	N	80	KZAB	EX		CME	2	US	1	278	020	N33270000	33.450001	W105000000	-105.000000	199511
AR644	S	10	KZAB	ET		HMN	3	US	1	066	051	N33040000	33.066667	W105070000	-105.116667	199709
AR644	S	15	KZAB	IP		HMN	3	US	1	066	051	N33040000	33.066666	W105070000	-105.116667	199709
AR644	S	28	KZAB	AN		HMN	3	US	1	015	066	N33513000	33.858333	W105325400	-105.548333	199709
AR644	S	41	KZAB	AP		HMN	3	US	1	015	066	N33513000	33.858333	W105325400	-105.548333	199803
AR644	S	50	KZAB	AP		HMN	3	US	1	001	053	N33433000	33.725000	W105544800	-105.913333	199803
AR644	S	60	KZAB	AP		HMN	3	US	1	043	030	N33100600	33.168333	W105374800	-105.630000	199803
AR644	S	70	KZAB	AP		HMN	3	US	1	049	050	N33175400	33.298333	W105151800	-105.255000	199803
AR644	S	80	KZAB	EX		CME	2	US	1	278	020	N33270000	33.450001	W105000000	-105.000000	199511
AR645		10	KZSE	ET		LKV	2	US	1	119	015	N42180000	42.300000	W120160000	-120.266667	200011
AR645		15	KZSE	ET		LKV	2	US	1	319	081	N43430000	43.716667	W121140000	-121.233333	200011
AR645		20	KZSE	IP		LKV	2	US	1	119	015	N42180000	42.300000	W120160000	-120.266667	199709
AR645		25	KZSE	IP		LKV	2	US	1	319	081	N43430000	43.716667	W121140000	-121.233333	200011
AR645		30	KZSE	AN		LKV	2	US	1	335	059	N43280000	43.466667	W120400000	-120.666667	200011
AR645		35	KZSE	AN		LKV	2	US	1	271	015	N42340000	42.566667	W120490000	-120.816667	199709
AR645		40	KZSE	AP		LKV	2	US	1	335	059	N43280000	43.466667	W120400000	-120.666667	199803
AR645		45	KZSE	AP		LKV	2	US	1	315	060	N43230000	43.383333	W121070000	-121.116667	199907
AR645		50	KZSE	AP		LKV	2	US	1	271	015	N42340000	42.566667	W120490000	-120.816667	199803
AR645		55	KZSE	AP		LKV	2	US	1	010	011	N42390000	42.650000	W120230000	-120.383333	199907
AR645		60	KZSE	EX		LKV	2	US	1	271	015	N42340000	42.566666	W120490000	-120.816667	199709
AR645		65	KZSE	EX		LKV	2	US	1	335	059	N43280000	43.466667	W120400000	-120.666667	200011
AR646		10	KZHU	ET		LEV	2	US	1	153	019	N28530000	28.883333	W089570000	-89.950000	200011
AR646		15	KZHU	ET		LEV	2	US	1	127	044	N28430000	28.716667	W089270000	-89.450000	200011
AR646		20	KZHU	ET		LEV	2	US	1	143	111	N27393000	27.658333	W088543000	-88.908333	200004
